treatment;density;surface
N0;5.05875;0.0303243
N0;6.87999;0.0223904
N0;1.81554;0.0197149
N0;1.62916;0.0163967
N0;5.99907;0.0185507
N0;5.70576;0.017184
N0;7.19606;0.017772
N0;8.58315;0.0193356
N0;9.59599;0.0146532
N0;9.10318;0.0134163
N0;12.985;0.0130973
N0;11.8989;0.0108837
N0;15.6607;0.0159642
N0;14.2003;0.00750452
N0;16.9794;0.0093306
N0;18.6697;0.00965863
N1;4.34714;0.0342915
N1;2.06875;0.0316205
N1;5.3684;0.0273972
N1;7.45868;0.0272055
N1;8.05718;0.0268161
N1;4.57907;0.0256395
N1;5.88992;0.0210877
N1;8.88958;0.0172543
N1;9.87321;0.0202484
N1;12.7617;0.0194725
N1;16.872;0.0114122
N1;15.3867;0.00952318
N1;21.4818;0.00283234
N1;24.4606;0.00446358
N1;24.4463;0.0082368
N1;29.4271;0.00674861
N2;5.50552;0.017509
N2;10.0772;0.0189476
N2;9.79153;0.0155643
N2;11.1925;0.0134848
N2;9.22372;0.00788676
N2;15.9884;0.0082881
N2;17.9945;0.00406273
N2;19.8642;0.00953046
N2;26.0536;0.00420595
N2;33.9148;0.00408862
N2;38.1053;0.00110287
N2;41.7732;0.00468691
