date;hour;temperature
20/04/2002;0;10
20/04/2002;1;10
20/04/2002;2;10
20/04/2002;3;10
20/04/2002;4;10
20/04/2002;5;10
20/04/2002;6;10
20/04/2002;7;10
20/04/2002;8;12
20/04/2002;9;18
20/04/2002;10;16
20/04/2002;11;23
20/04/2002;12;22
20/04/2002;13;22
20/04/2002;14;23
20/04/2002;15;25
20/04/2002;16;23
20/04/2002;17;18
20/04/2002;18;23
20/04/2002;19;20
20/04/2002;20;15
20/04/2002;21;14
20/04/2002;22;11
20/04/2002;23;10
21/04/2002;0;10
21/04/2002;1;10
21/04/2002;2;10
21/04/2002;3;10
21/04/2002;4;10
21/04/2002;5;10
21/04/2002;6;10
21/04/2002;7;10
21/04/2002;8;10
21/04/2002;9;15
21/04/2002;10;16
21/04/2002;11;22
21/04/2002;12;25
21/04/2002;13;23
21/04/2002;14;20
21/04/2002;15;23
21/04/2002;16;25
21/04/2002;17;23
21/04/2002;18;20
21/04/2002;19;21
21/04/2002;20;17
21/04/2002;21;13
21/04/2002;22;10
21/04/2002;23;10
22/04/2002;0;9
22/04/2002;1;9
22/04/2002;2;9
22/04/2002;3;9
22/04/2002;4;9
22/04/2002;5;9
22/04/2002;6;9
22/04/2002;7;9
22/04/2002;8;12
22/04/2002;9;17
22/04/2002;10;22
22/04/2002;11;22
22/04/2002;12;20
22/04/2002;13;24
22/04/2002;14;21
22/04/2002;15;23
22/04/2002;16;25
22/04/2002;17;22
22/04/2002;18;22
22/04/2002;19;21
22/04/2002;20;19
22/04/2002;21;16.5
22/04/2002;22;15
22/04/2002;23;11
23/04/2002;0;10
23/04/2002;1;10
23/04/2002;2;10
23/04/2002;3;9
23/04/2002;4;10
23/04/2002;5;10
23/04/2002;6;10
23/04/2002;7;10
23/04/2002;8;10
23/04/2002;9;17
23/04/2002;10;21
23/04/2002;11;20
23/04/2002;12;18
23/04/2002;13;25
23/04/2002;14;26
23/04/2002;15;24
23/04/2002;16;23
23/04/2002;17;23
23/04/2002;18;23
23/04/2002;19;23
23/04/2002;20;22
23/04/2002;21;19
23/04/2002;22;17
23/04/2002;23;11
24/04/2002;0;9
24/04/2002;1;9
24/04/2002;2;9
24/04/2002;3;9
24/04/2002;4;9
24/04/2002;5;9
24/04/2002;6;10
24/04/2002;7;10
24/04/2002;8;11
24/04/2002;9;13
24/04/2002;10;15
24/04/2002;11;16
24/04/2002;12;20
24/04/2002;13;22
24/04/2002;14;21
24/04/2002;15;22
24/04/2002;16;20
24/04/2002;17;20
24/04/2002;18;20
24/04/2002;19;17
24/04/2002;20;17
24/04/2002;21;16
24/04/2002;22;14
24/04/2002;23;12
25/04/2002;0;11
25/04/2002;1;11
25/04/2002;2;11
25/04/2002;3;11
25/04/2002;4;11
25/04/2002;5;10
25/04/2002;6;9
25/04/2002;7;10
25/04/2002;8;10
25/04/2002;9;15
25/04/2002;10;24
25/04/2002;11;22
25/04/2002;12;20
25/04/2002;13;22
25/04/2002;14;22
25/04/2002;15;20
25/04/2002;16;20
25/04/2002;17;22
25/04/2002;18;22
25/04/2002;19;18
25/04/2002;20;14
25/04/2002;21;12
25/04/2002;22;10
25/04/2002;23;10
26/04/2002;0;10
26/04/2002;1;10
26/04/2002;2;9
